asset,aroon_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
doge,5,-0.06980733700274222,-9.344704642786203,-5.0,0.0,-27.87657151089316,0.0645694769270006,0.0,0.0,0.19261985368002174,4
shib,5,-0.07891412878227011,-5.0199601592044525,0.0,0.0,-25.2,0.07891412878227011,0.0,0.0,0.39614578248532545,1
pepe,5,-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1
doge,6,-0.026849044054821025,-1.924116421257753,-2.9337796829015925,0.6465587873822178,-9.852729238436398,0.0645694769270006,0.2,0.6465587873822178,0.33063777544881745,5
shib,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,6,-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1
doge,7,-0.0758125549094888,-4.673409123534193,-5.0,0.3793443676831711,-17.05653914790383,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.4074345979037864,6
shib,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
pepe,7,-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1
doge,8,-0.0758125549094888,-4.673409123534193,-5.0,0.3793443676831711,-17.05653914790383,0.11163510666353713,0.16666666666666666,0.3793443676831711,0.4074345979037864,6
shib,8,0.10000003637978905,5.0199601592044525,5.0,10.0,0.0,0.0,1.0,10.0,0.501996198545537,1
pepe,8,-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1
doge,9,-0.07060850986193545,-4.308904771570758,-5.0,0.3976331360151289,-15.792553610394469,0.11163510666353707,0.2,0.3976331360151289,0.40915348568804255,5
shib,9,0.0,0.320423099702654,0.0,1.1000000363797895,2.5200009167706963,0.09090912097503127,0.5,1.1000000363797895,0.7149642719656877,2
pepe,9,-0.17631126234419792,-5.019960159204453,0.0,0.0,-25.200000000000003,0.17631126234419792,0.0,0.0,0.885075512586918,1
